obs_id,train_id,class,letter
id_000649,train,17,r
id_000650,train,24,y
id_000651,valid,17,r
id_000652,test,NA,NA
id_000653,train,9,j
id_000654,train,10,k
id_000655,valid,14,o
id_000656,test,NA,NA
id_000657,train,5,f
id_000658,train,15,p
id_000659,valid,19,t
id_000660,test,NA,NA
id_000661,train,9,j
id_000662,train,20,u
id_000663,valid,1,b
id_000664,test,NA,NA
id_000665,train,9,j
id_000666,train,15,p
id_000667,valid,23,x
id_000668,test,NA,NA
id_000669,train,9,j
id_000670,train,17,r
id_000671,valid,19,t
id_000672,test,NA,NA
id_000673,train,21,v
id_000674,train,13,n
id_000675,valid,12,m
id_000676,test,NA,NA
id_000677,train,9,j
id_000678,train,3,d
id_000679,valid,7,h
id_000680,test,NA,NA
id_000681,train,19,t
id_000682,train,20,u
id_000683,valid,3,d
id_000684,test,NA,NA
id_000685,train,15,p
id_000686,train,13,n
id_000687,valid,9,j
id_000688,test,NA,NA
id_000689,train,0,a
id_000690,train,23,x
id_000691,valid,2,c
id_000692,test,NA,NA
id_000693,train,21,v
id_000694,train,15,p
id_000695,valid,10,k
id_000696,test,NA,NA
id_000697,train,20,u
id_000698,train,4,e
id_000699,valid,25,z
id_000700,test,NA,NA
id_000701,train,24,y
id_000702,train,23,x
id_000703,valid,19,t
id_000704,test,NA,NA
id_000705,train,16,q
id_000706,train,1,b
id_000707,valid,10,k
id_000708,test,NA,NA
id_000709,train,24,y
id_000710,train,18,s
id_000711,valid,18,s
id_000712,test,NA,NA
id_000713,train,3,d
id_000714,train,20,u
id_000715,valid,11,l
id_000716,test,NA,NA
id_000717,train,0,a
id_000718,train,3,d
id_000719,valid,10,k
id_000720,test,NA,NA
id_000721,train,0,a
id_000722,train,15,p
id_000723,valid,23,x
id_000724,test,NA,NA
id_000725,train,6,g
id_000726,train,21,v
id_000727,valid,8,i
id_000728,test,NA,NA
id_000729,train,11,l
id_000730,train,1,b
id_000731,valid,18,s
id_000732,test,NA,NA
id_000733,train,19,t
id_000734,train,1,b
id_000735,valid,18,s
id_000736,test,NA,NA
id_000737,train,7,h
id_000738,train,21,v
id_000739,valid,2,c
id_000740,test,NA,NA
id_000741,train,9,j
id_000742,train,14,o
id_000743,valid,15,p
id_000744,test,NA,NA
id_000745,train,5,f
id_000746,train,9,j
id_000747,valid,25,z
id_000748,test,NA,NA
id_000749,train,3,d
id_000750,train,17,r
id_000751,valid,12,m
id_000752,test,NA,NA
id_000753,train,14,o
id_000754,train,25,z
id_000755,valid,11,l
id_000756,test,NA,NA
id_000757,train,11,l
id_000758,train,5,f
id_000759,valid,24,y
id_000760,test,NA,NA
id_000761,train,20,u
id_000762,train,4,e
id_000763,valid,22,w
id_000764,test,NA,NA
id_000765,train,4,e
id_000766,train,4,e
id_000767,valid,14,o
id_000768,test,NA,NA
id_000769,train,22,w
id_000770,train,18,s
id_000771,valid,12,m
id_000772,test,NA,NA
id_000773,train,0,a
id_000774,train,25,z
id_000775,valid,16,q
id_000776,test,NA,NA
id_000777,train,0,a
id_000778,train,19,t
id_000779,valid,25,z
id_000780,test,NA,NA
id_000781,train,23,x
id_000782,train,18,s
id_000783,valid,18,s
id_000784,test,NA,NA
id_000785,train,22,w
id_000786,train,4,e
id_000787,valid,16,q
id_000788,test,NA,NA
id_000789,train,11,l
id_000790,train,1,b
id_000791,valid,4,e
id_000792,test,NA,NA
id_000793,train,24,y
id_000794,train,8,i
id_000795,valid,13,n
id_000796,test,NA,NA
id_000797,train,6,g
id_000798,train,13,n
id_000799,valid,20,u
id_000800,test,NA,NA
id_000801,train,22,w
id_000802,train,0,a
id_000803,valid,25,z
id_000804,test,NA,NA
id_000805,train,7,h
id_000806,train,17,r
id_000807,valid,8,i
id_000808,test,NA,NA
id_000809,train,8,i
id_000810,train,0,a
id_000811,valid,9,j
id_000812,test,NA,NA
id_000813,train,9,j
id_000814,train,24,y
id_000815,valid,9,j
id_000816,test,NA,NA
id_000817,train,23,x
id_000818,train,23,x
id_000819,valid,6,g
id_000820,test,NA,NA
id_000821,train,9,j
id_000822,train,14,o
id_000823,valid,19,t
id_000824,test,NA,NA
id_000825,train,22,w
id_000826,train,0,a
id_000827,valid,5,f
id_000828,test,NA,NA
id_000829,train,7,h
id_000830,train,18,s
id_000831,valid,18,s
id_000832,test,NA,NA
id_000833,train,21,v
id_000834,train,20,u
id_000835,valid,10,k
id_000836,test,NA,NA
id_000837,train,1,b
id_000838,train,22,w
id_000839,valid,24,y
id_000840,test,NA,NA
id_000841,train,23,x
id_000842,train,3,d
id_000843,valid,6,g
id_000844,test,NA,NA
id_000845,train,25,z
id_000846,train,11,l
id_000847,valid,1,b
id_000848,test,NA,NA
id_000849,train,18,s
id_000850,train,9,j
id_000851,valid,24,y
id_000852,test,NA,NA
id_000853,train,1,b
id_000854,train,25,z
id_000855,valid,5,f
id_000856,test,NA,NA
id_000857,train,6,g
id_000858,train,18,s
id_000859,valid,6,g
id_000860,test,NA,NA
id_000861,train,0,a
id_000862,train,6,g
id_000863,valid,17,r
id_000864,test,NA,NA
id_000865,train,1,b
id_000866,train,10,k
id_000867,valid,12,m
id_000868,test,NA,NA
id_000869,train,18,s
id_000870,train,1,b
id_000871,valid,10,k
id_000872,test,NA,NA
id_000873,train,21,v
id_000874,train,5,f
id_000875,valid,12,m
id_000876,test,NA,NA
id_000877,train,6,g
id_000878,train,11,l
id_000879,valid,19,t
id_000880,test,NA,NA
id_000881,train,8,i
id_000882,train,24,y
id_000883,valid,24,y
id_000884,test,NA,NA
id_000885,train,12,m
id_000886,train,20,u
id_000887,valid,20,u
id_000888,test,NA,NA
id_000889,train,15,p
id_000890,train,8,i
id_000891,valid,0,a
id_000892,test,NA,NA
id_000893,train,2,c
id_000894,train,0,a
id_000895,valid,8,i
id_000896,test,NA,NA
id_000897,train,15,p
id_000898,train,0,a
id_000899,valid,0,a
id_000900,test,NA,NA
id_000901,train,21,v
id_000902,train,19,t
id_000903,valid,7,h
id_000904,test,NA,NA
id_000905,train,5,f
id_000906,train,1,b
id_000907,valid,1,b
id_000908,test,NA,NA
id_000909,train,1,b
id_000910,train,1,b
id_000911,valid,13,n
id_000912,test,NA,NA
id_000913,train,17,r
id_000914,train,1,b
id_000915,valid,0,a
id_000916,test,NA,NA
id_000917,train,4,e
id_000918,train,18,s
id_000919,valid,18,s
id_000920,test,NA,NA
id_000921,train,8,i
id_000922,train,25,z
id_000923,valid,25,z
id_000924,test,NA,NA
id_000925,train,23,x
id_000926,train,21,v
id_000927,valid,18,s
id_000928,test,NA,NA
id_000929,train,12,m
id_000930,train,11,l
id_000931,valid,15,p
id_000932,test,NA,NA
id_000933,train,6,g
id_000934,train,7,h
id_000935,valid,18,s
id_000936,test,NA,NA
id_000937,train,24,y
id_000938,train,11,l
id_000939,valid,22,w
id_000940,test,NA,NA
id_000941,train,5,f
id_000942,train,23,x
id_000943,valid,1,b
id_000944,test,NA,NA
id_000945,train,11,l
id_000946,train,10,k
id_000947,valid,17,r
id_000948,test,NA,NA
id_000949,train,23,x
id_000950,train,21,v
id_000951,valid,2,c
id_000952,test,NA,NA
id_000953,train,16,q
id_000954,train,22,w
id_000955,valid,15,p
id_000956,test,NA,NA
id_000957,train,22,w
id_000958,train,4,e
id_000959,valid,12,m
id_000960,test,NA,NA
id_000961,train,9,j
id_000962,train,11,l
id_000963,valid,3,d
id_000964,test,NA,NA
id_000965,train,7,h
id_000966,train,6,g
id_000967,valid,9,j
id_000968,test,NA,NA
id_000969,train,25,z
id_000970,train,18,s
id_000971,valid,25,z
id_000972,test,NA,NA
id_000973,train,11,l
id_000974,train,24,y
id_000975,valid,3,d
id_000976,test,NA,NA
id_000977,train,0,a
id_000978,train,15,p
id_000979,valid,17,r
id_000980,test,NA,NA
id_000981,train,3,d
id_000982,train,4,e
id_000983,valid,25,z
id_000984,test,NA,NA
id_000985,train,4,e
id_000986,train,12,m
id_000987,valid,14,o
id_000988,test,NA,NA
id_000989,train,25,z
id_000990,train,13,n
id_000991,valid,3,d
id_000992,test,NA,NA
id_000993,train,16,q
id_000994,train,5,f
id_000995,valid,3,d
id_000996,test,NA,NA
id_000997,train,16,q
id_000998,train,7,h
id_000999,valid,4,e
id_001000,test,NA,NA
id_001001,train,13,n
id_001002,train,17,r
id_001003,valid,9,j
id_001004,test,NA,NA
id_001005,train,3,d
id_001006,train,1,b
id_001007,valid,13,n
id_001008,test,NA,NA
id_001009,train,21,v
id_001010,train,16,q
id_001011,valid,24,y
id_001012,test,NA,NA
id_001013,train,2,c
id_001014,train,25,z
id_001015,valid,10,k
id_001016,test,NA,NA
id_001017,train,22,w
id_001018,train,7,h
id_001019,valid,3,d
id_001020,test,NA,NA
id_001021,train,0,a
id_001022,train,21,v
id_001023,valid,4,e
id_001024,test,NA,NA
id_001025,train,4,e
id_001026,train,19,t
id_001027,valid,13,n
id_001028,test,NA,NA
id_001029,train,8,i
id_001030,train,18,s
id_001031,valid,15,p
id_001032,test,NA,NA
id_001033,train,8,i
id_001034,train,24,y
id_001035,valid,16,q
id_001036,test,NA,NA
id_001037,train,9,j
id_001038,train,13,n
id_001039,valid,22,w
id_001040,test,NA,NA
id_001041,train,5,f
id_001042,train,4,e
id_001043,valid,15,p
id_001044,test,NA,NA
id_001045,train,4,e
id_001046,train,10,k
id_001047,valid,15,p
id_001048,test,NA,NA
id_001049,train,12,m
id_001050,train,24,y
id_001051,valid,1,b
id_001052,test,NA,NA
id_001053,train,11,l
id_001054,train,23,x
id_001055,valid,22,w
id_001056,test,NA,NA
id_001057,train,19,t
id_001058,train,10,k
id_001059,valid,14,o
id_001060,test,NA,NA
id_001061,train,3,d
id_001062,train,23,x
id_001063,valid,22,w
id_001064,test,NA,NA
id_001065,train,13,n
id_001066,train,23,x
id_001067,valid,8,i
id_001068,test,NA,NA
id_001069,train,24,y
id_001070,train,11,l
id_001071,valid,5,f
id_001072,test,NA,NA
id_001073,train,15,p
id_001074,train,10,k
id_001075,valid,23,x
id_001076,test,NA,NA
id_001077,train,18,s
id_001078,train,0,a
id_001079,valid,9,j
id_001080,test,NA,NA
id_001081,train,8,i
id_001082,train,9,j
id_001083,valid,16,q
id_001084,test,NA,NA
id_001085,train,17,r
id_001086,train,21,v
id_001087,valid,13,n
id_001088,test,NA,NA
id_001089,train,23,x
id_001090,train,10,k
id_001091,valid,12,m
id_001092,test,NA,NA
id_001093,train,6,g
id_001094,train,7,h
id_001095,valid,18,s
id_001096,test,NA,NA
id_001097,train,0,a
id_001098,train,14,o
id_001099,valid,16,q
id_001100,test,NA,NA
id_001101,train,17,r
id_001102,train,6,g
id_001103,valid,10,k
id_001104,test,NA,NA
id_001105,train,3,d
id_001106,train,16,q
id_001107,valid,8,i
id_001108,test,NA,NA
id_001109,train,24,y
id_001110,train,9,j
id_001111,valid,5,f
id_001112,test,NA,NA
id_001113,train,0,a
id_001114,train,17,r
id_001115,valid,20,u
id_001116,test,NA,NA
id_001117,train,7,h
id_001118,train,18,s
id_001119,valid,7,h
id_001120,test,NA,NA
id_001121,train,2,c
id_001122,train,20,u
id_001123,valid,12,m
id_001124,test,NA,NA
id_001125,train,19,t
id_001126,train,23,x
id_001127,valid,7,h
id_001128,test,NA,NA
id_001129,train,7,h
id_001130,train,8,i
id_001131,valid,22,w
id_001132,test,NA,NA
id_001133,train,10,k
id_001134,train,10,k
id_001135,valid,11,l
id_001136,test,NA,NA
id_001137,train,6,g
id_001138,train,16,q
id_001139,valid,21,v
id_001140,test,NA,NA
id_001141,train,4,e
id_001142,train,7,h
id_001143,valid,20,u
id_001144,test,NA,NA
id_001145,train,20,u
id_001146,train,13,n
id_001147,valid,8,i
id_001148,test,NA,NA
id_001149,train,20,u
id_001150,train,2,c
id_001151,valid,21,v
id_001152,test,NA,NA
id_001153,train,18,s
id_001154,train,22,w
id_001155,valid,25,z
id_001156,test,NA,NA
id_001157,train,0,a
id_001158,train,5,f
id_001159,valid,3,d
id_001160,test,NA,NA
id_001161,train,2,c
id_001162,train,7,h
id_001163,valid,14,o
id_001164,test,NA,NA
id_001165,train,24,y
id_001166,train,9,j
id_001167,valid,24,y
id_001168,test,NA,NA
id_001169,train,17,r
id_001170,train,3,d
id_001171,valid,20,u
id_001172,test,NA,NA
id_001173,train,11,l
id_001174,train,11,l
id_001175,valid,17,r
id_001176,test,NA,NA
id_001177,train,16,q
id_001178,train,20,u
id_001179,valid,5,f
id_001180,test,NA,NA
id_001181,train,9,j
id_001182,train,8,i
id_001183,valid,11,l
id_001184,test,NA,NA
id_001185,train,23,x
id_001186,train,4,e
id_001187,valid,3,d
id_001188,test,NA,NA
id_001189,train,0,a
